model,estimator,theta,path_index,levels,maximum_depth,physical_depth_budget,trials,bias,median_absolute_error,rmse,q90_absolute_error,branch_failure_rate,tail_rmse_slope,tail_rmse_slope_r_squared
gate,global_mle_oracle,0.231,0,7,127,31616,512,-0.0011228686472151417,0.0011324927291647552,0.007462159550203567,0.003048388414824136,0.021484375,-0.521943569567041,0.9357993021381068
gate,global_mle_oracle,0.231,0,8,255,64256,512,-0.0005623238675571685,0.001026120387556978,0.004495383921999459,0.003481612634644204,0.083984375,-0.521943569567041,0.9357993021381068
gate,global_mle_oracle,0.231,0,9,511,129664,512,-4.8429593565130213e-05,0.001460652737873977,0.002813817179144474,0.002816059302332258,0.21875,-0.521943569567041,0.9357993021381068
gate,global_mle_oracle,0.231,1,3,7,1408,512,-0.0018164914997892412,0.009070215930099865,0.013107249817942847,0.021710674999544946,0.0,-0.27843882586633184,0.9603668317695098
gate,global_mle_oracle,0.231,1,4,15,3328,512,-0.002306494458121283,0.003570722752829325,0.010109044866597115,0.010422184768043801,0.0,-0.27843882586633184,0.9603668317695098
gate,global_mle_oracle,0.231,1,5,31,7296,512,-0.00027058963271611725,0.0017113975077117094,0.0033378136933849643,0.0038445007104217065,0.001953125,-0.27843882586633184,0.9603668317695098
gate,global_mle_oracle,0.231,1,6,63,15360,512,-0.0009806229502389574,0.0015692123504141842,0.0068538347038380335,0.0035226982150296797,0.015625,-0.27843882586633184,0.9603668317695098
gate,global_mle_oracle,0.231,1,7,127,31616,512,-0.00042712560904059615,0.001205977894817703,0.00499885443137673,0.0031898256475528537,0.009765625,-0.27843882586633184,0.9603668317695098
gate,global_mle_oracle,0.231,1,8,255,64256,512,-0.00048486426456548215,0.0010261203875569502,0.004554540544603854,0.0037450022846713445,0.095703125,-0.27843882586633184,0.9603668317695098
gate,global_mle_oracle,0.231,1,9,511,129664,512,-0.0002563253382434627,0.001477254820249796,0.003656708074544531,0.002580864932579963,0.197265625,-0.27843882586633184,0.9603668317695098
gate,global_mle_oracle,0.231,2,3,7,1408,512,-0.001660866198315819,0.008342027381502207,0.012517971792167256,0.0208570680154947,0.0,-0.09347265499868469,0.8556701666911473
gate,global_mle_oracle,0.231,2,4,15,3328,512,-0.005017946482482466,0.003939676356154928,0.014131088804483171,0.03489033953443205,0.0,-0.09347265499868469,0.8556701666911473
gate,global_mle_oracle,0.231,2,5,31,7296,512,-6.42461575392217e-05,0.0015898645502818165,0.003261663742122204,0.0038410735892105714,0.001953125,-0.09347265499868469,0.8556701666911473
gate,global_mle_oracle,0.231,2,6,63,15360,512,-0.0004751355657505729,0.0013408207786329007,0.004258072740943254,0.003251304186667895,0.005859375,-0.09347265499868469,0.8556701666911473
gate,global_mle_oracle,0.231,2,7,127,31616,512,-0.00026713766300306974,0.0011165347658495944,0.004240283616260475,0.003038480208217296,0.0078125,-0.09347265499868469,0.8556701666911473
gate,global_mle_oracle,0.231,2,8,255,64256,512,-0.00023632080146057666,0.0010261203875569502,0.003659765078105325,0.0032272659045329646,0.08203125,-0.09347265499868469,0.8556701666911473
gate,global_mle_oracle,0.231,2,9,511,129664,512,-0.0003945928302966084,0.0014604912908811607,0.0035831591515842675,0.003154070263432305,0.24609375,-0.09347265499868469,0.8556701666911473
gate,global_mle_oracle,0.317,0,3,7,1408,512,0.00028061075643331934,0.004689794770129874,0.006898845308137074,0.011445136606824254,0.0,-0.09112365345147955,0.5936688421398815
gate,global_mle_oracle,0.317,0,4,15,3328,512,-8.381430190457229e-05,0.004106548211564476,0.006271597985736243,0.010420776189033398,0.0,-0.09112365345147955,0.5936688421398815
gate,global_mle_oracle,0.317,0,5,31,7296,512,-0.0005264957903688972,0.0022717192359474336,0.004042429518966738,0.005762122431138108,0.0,-0.09112365345147955,0.5936688421398815
gate,global_mle_oracle,0.317,0,6,63,15360,512,-7.710895610751889e-05,0.0015918736558874214,0.00233516939201525,0.003742228255672221,0.0,-0.09112365345147955,0.5936688421398815
gate,global_mle_oracle,0.317,0,7,127,31616,512,-8.61556042263123e-05,0.0013313912075594292,0.002341753697609899,0.0033246084645497834,0.005859375,-0.09112365345147955,0.5936688421398815
gate,global_mle_oracle,0.317,0,8,255,64256,512,-0.0001011926054612644,0.0010219054677984563,0.0023357470108034952,0.0036404021285808175,0.08984375,-0.09112365345147955,0.5936688421398815
gate,global_mle_oracle,0.317,0,9,511,129664,512,0.00014197978661767419,0.001293957458467443,0.0018814497832346227,0.003259947649080154,0.21875,-0.09112365345147955,0.5936688421398815
gate,global_mle_oracle,0.317,1,3,7,1408,512,-0.00026165508687192585,0.0046837008985860795,0.006642537796439075,0.010588833654772247,0.0,0.02545537638411052,0.1543005954775707
gate,global_mle_oracle,0.317,1,4,15,3328,512,9.400731781361582e-05,0.003991047277154269,0.006063891299923609,0.009963509604537159,0.0,0.02545537638411052,0.1543005954775707
gate,global_mle_oracle,0.317,1,5,31,7296,512,-0.0005909167444902996,0.0020475905934089766,0.00403482674196284,0.005212507534338901,0.0,0.02545537638411052,0.1543005954775707
gate,global_mle_oracle,0.317,1,6,63,15360,512,0.00015018928619614513,0.0015148948685206054,0.002302057565486569,0.0037015526964524173,0.0,0.02545537638411052,0.1543005954775707
gate,global_mle_oracle,0.317,1,7,127,31616,512,-4.6929488033142785e-05,0.001242767472558498,0.0020782982799177653,0.003343202792246765,0.00390625,0.02545537638411052,0.1543005954775707
gate,global_mle_oracle,0.317,1,8,255,64256,512,0.00011899652566477181,0.0010885978846646716,0.0023625748501843527,0.0048940701006824905,0.130859375,0.02545537638411052,0.1543005954775707
gate,global_mle_oracle,0.317,1,9,511,129664,512,9.148313020512777e-06,0.001406226779529729,0.00234415339326044,0.0037170675751140303,0.27734375,0.02545537638411052,0.1543005954775707
gate,global_mle_oracle,0.317,2,3,7,1408,512,-0.00011009011229712318,0.0047101443440926705,0.006562353365364315,0.010815047560746143,0.0,-0.03111390722313606,0.0342962860720738
gate,global_mle_oracle,0.317,2,4,15,3328,512,-0.0005355652908767827,0.004180108109725633,0.006272132726442227,0.01046438083159086,0.0,-0.03111390722313606,0.0342962860720738
gate,global_mle_oracle,0.317,2,5,31,7296,512,-0.0006751660465814102,0.0018770190521937014,0.004157937644651238,0.004909504454198739,0.0,-0.03111390722313606,0.0342962860720738
gate,global_mle_oracle,0.317,2,6,63,15360,512,1.7352543906279383e-05,0.0014521250922878703,0.0021569038534618684,0.0034836042007488194,0.0,-0.03111390722313606,0.0342962860720738
gate,global_mle_oracle,0.317,2,7,127,31616,512,-8.902140512018208e-05,0.0013492134502596231,0.0029390064833618797,0.003712089933515678,0.01171875,-0.03111390722313606,0.0342962860720738
gate,global_mle_oracle,0.317,2,8,255,64256,512,2.2038335943663778e-05,0.0011807039197652691,0.0025087282018019276,0.004093851766929681,0.099609375,-0.03111390722313606,0.0342962860720738
gate,global_mle_oracle,0.317,2,9,511,129664,512,1.4341516871019255e-05,0.001406226779529729,0.0021071636782457976,0.003708426835130541,0.27734375,-0.03111390722313606,0.0342962860720738
readout,direct_k1_oracle_visibility,0.173,0,3,7,2816,512,0.00042608322105572305,0.016675998652100038,0.024282680677986966,0.040668391392340214,0.001953125,-0.46476348176683446,0.9997775145510056
readout,direct_k1_oracle_visibility,0.173,0,4,15,6656,512,-0.0011637283566331702,0.011024181518832887,0.015172429090756334,0.024374420703338284,0.0,-0.46476348176683446,0.9997775145510056
readout,direct_k1_oracle_visibility,0.173,0,5,31,14592,512,-0.00019953699669203462,0.007509010817108447,0.011018532893522445,0.01750653934669298,0.0,-0.46476348176683446,0.9997775145510056
readout,direct_k1_oracle_visibility,0.173,0,6,63,30720,512,-0.0003819644058647431,0.005189697552646866,0.007347207889537446,0.012003169345523423,0.0,-0.46476348176683446,0.9997775145510056
readout,direct_k1_oracle_visibility,0.173,0,7,127,63232,512,0.00018281627277969004,0.0036464317547885983,0.005235378428101123,0.008693312979912481,0.0,-0.46476348176683446,0.9997775145510056
readout,direct_k1_oracle_visibility,0.173,0,8,255,128512,512,8.373010652426571e-05,0.002684319435942578,0.0037336329103557025,0.005995647480368221,0.0,-0.46476348176683446,0.9997775145510056
readout,direct_k1_oracle_visibility,0.173,0,9,511,259328,512,5.957774879108979e-05,0.0018368278544306227,0.0027340577535886305,0.004465596619788857,0.0,-0.46476348176683446,0.9997775145510056
readout,direct_k1_oracle_visibility,0.173,1,3,7,2816,512,-0.0009160230001250547,0.01520252946396819,0.025167243398182288,0.04240680490857604,0.001953125,-0.4794379190321083,0.9970935489734694
readout,direct_k1_oracle_visibility,0.173,1,4,15,6656,512,-0.0001532834852024656,0.009411387401755289,0.014599333095713435,0.024374420703338284,0.0,-0.4794379190321083,0.9970935489734694
readout,direct_k1_oracle_visibility,0.173,1,5,31,14592,512,-0.0001673497219977227,0.006769534929212867,0.010541214596804028,0.01780942164839244,0.0,-0.4794379190321083,0.9970935489734694
readout,direct_k1_oracle_visibility,0.173,1,6,63,30720,512,-0.00019907127325602403,0.0047705458608612444,0.007132205541804509,0.011887728522661262,0.0,-0.4794379190321083,0.9970935489734694
readout,direct_k1_oracle_visibility,0.173,1,7,127,63232,512,-6.73450434067191e-05,0.003201224330104474,0.005199159156191943,0.008471409098088162,0.0,-0.4794379190321083,0.9970935489734694
readout,direct_k1_oracle_visibility,0.173,1,8,255,128512,512,7.27420997451711e-05,0.002594758246141027,0.0037539370522336997,0.006024311069764795,0.0,-0.4794379190321083,0.9970935489734694
readout,direct_k1_oracle_visibility,0.173,1,9,511,259328,512,4.5340120794434835e-05,0.001799650164594685,0.002551699198715336,0.0041072530468087825,0.0,-0.4794379190321083,0.9970935489734694
readout,direct_k1_oracle_visibility,0.173,2,3,7,2816,512,-0.001275477384079543,0.01520252946396819,0.0231430558653682,0.03893897497204915,0.0,-0.5134855385835231,0.9990393262819125
readout,direct_k1_oracle_visibility,0.173,2,4,15,6656,512,-0.0006761932649386182,0.011558789150622306,0.016375381424146507,0.024925680856267583,0.0,-0.5134855385835231,0.9990393262819125
readout,direct_k1_oracle_visibility,0.173,2,5,31,14592,512,-0.0006716483410913465,0.008050587449063673,0.011175053435782477,0.018608726609249733,0.0,-0.5134855385835231,0.9990393262819125
readout,direct_k1_oracle_visibility,0.173,2,6,63,30720,512,-0.00010492611705981147,0.004552222201638048,0.00715792739169574,0.011887728522661262,0.0,-0.5134855385835231,0.9990393262819125
readout,direct_k1_oracle_visibility,0.173,2,7,127,63232,512,0.0004544256056286111,0.0033778904878369737,0.005109849470013089,0.008174227712147937,0.0,-0.5134855385835231,0.9990393262819125
readout,direct_k1_oracle_visibility,0.173,2,8,255,128512,512,-3.0366445149226928e-05,0.0021473882333700456,0.0034600784232935345,0.005742654855072575,0.0,-0.5134855385835231,0.9990393262819125
readout,direct_k1_oracle_visibility,0.173,2,9,511,259328,512,-3.851955950423536e-05,0.0016854593922014383,0.00241393137281152,0.003952695446107585,0.0,-0.5134855385835231,0.9990393262819125
readout,direct_k1_oracle_visibility,0.231,0,3,7,2816,512,-0.0020195634458895217,0.01354218611363181,0.02085714964461389,0.03361180575741243,0.0,-0.49955781897511403,0.9957697571988751
readout,direct_k1_oracle_visibility,0.231,0,4,15,6656,512,-0.0009984725370902892,0.0084852923507302,0.012343378656067395,0.01989569670817101,0.0,-0.49955781897511403,0.9957697571988751
readout,direct_k1_oracle_visibility,0.231,0,5,31,14592,512,-0.00019235014638419035,0.005418648803595258,0.008305702755173849,0.013826346295450584,0.0,-0.49955781897511403,0.9957697571988751
