model,estimator,theta,path_index,levels,maximum_depth,physical_depth_budget,trials,bias,median_absolute_error,rmse,q90_absolute_error,branch_failure_rate,tail_rmse_slope,tail_rmse_slope_r_squared
gate,oracle,0.231,1,5,31,7296,512,-0.005962150298970376,0.002366722403843724,0.01846912145984203,0.052696842488289375,0.013671875,0.03526424060651902,0.10235631313237536
gate,oracle,0.231,1,6,63,15360,512,-0.005586857724035554,0.002596319234534128,0.016948965672769004,0.006600524743586217,0.009765625,0.03526424060651902,0.10235631313237536
gate,oracle,0.231,1,7,127,31616,512,-0.006433251930112183,0.0040010252685278025,0.02082623593404678,0.04547287478800438,0.01953125,0.03526424060651902,0.10235631313237536
gate,oracle,0.231,1,8,255,64256,512,-0.005378496351220258,0.003080532974858191,0.02083816011751616,0.04620043214177691,0.072265625,0.03526424060651902,0.10235631313237536
gate,oracle,0.231,1,9,511,129664,512,-0.0030102292009028253,0.005695336914299437,0.01839396485392216,0.03734017888830046,0.05078125,0.03526424060651902,0.10235631313237536
gate,oracle,0.231,2,3,7,1408,512,-0.003154266493837238,0.006600524743586217,0.014106147249941286,0.026925785455165607,0.009765625,-0.02383577641999254,0.13565318567036766
gate,oracle,0.231,2,4,15,3328,512,-0.004737465403850505,0.004006184922847031,0.014179271107749893,0.02156048976068048,0.015625,-0.02383577641999254,0.13565318567036766
gate,oracle,0.231,2,5,31,7296,512,-0.007384658169295427,0.0021052120371168603,0.020659361536777977,0.05496678682988451,0.01171875,-0.02383577641999254,0.13565318567036766
gate,oracle,0.231,2,6,63,15360,512,-0.007094489101927698,0.0023086361702402136,0.019898088237091563,0.04910974385681301,0.0078125,-0.02383577641999254,0.13565318567036766
gate,oracle,0.231,2,7,127,31616,512,-0.005655336434912311,0.0040010252685278025,0.01973346701137113,0.04547287478800438,0.021484375,-0.02383577641999254,0.13565318567036766
gate,oracle,0.231,2,8,255,64256,512,-0.003694125290012451,0.003080532974858191,0.017536600900714457,0.018172389647835588,0.0703125,-0.02383577641999254,0.13565318567036766
gate,oracle,0.231,2,9,511,129664,512,-0.004328071795583449,0.005695336914299437,0.019568929598373565,0.040414144302771876,0.048828125,-0.02383577641999254,0.13565318567036766
gate,oracle,0.317,0,3,7,1408,512,0.00018437417367206388,0.0050830842617471395,0.007733211353707778,0.012971861891555303,0.01171875,0.13714438904901335,0.9076584429660031
gate,oracle,0.317,0,4,15,3328,512,-0.0009853350312082898,0.0028407346410206924,0.00918075323129431,0.015961072754249794,0.009765625,0.13714438904901335,0.9076584429660031
gate,oracle,0.317,0,5,31,7296,512,-0.002656477200369378,0.0028366920457448264,0.008487043450068725,0.012974904491310335,0.009765625,0.13714438904901335,0.9076584429660031
gate,oracle,0.317,0,6,63,15360,512,-0.0023416845183442114,0.002707172171723171,0.010388139394549072,0.007132575370375482,0.0078125,0.13714438904901335,0.9076584429660031
gate,oracle,0.317,0,7,127,31616,512,-0.0018252951554816321,0.004580350367459185,0.011045269776310186,0.012778704729689443,0.0234375,0.13714438904901335,0.9076584429660031
gate,oracle,0.317,0,8,255,64256,512,-0.0017940183386986885,0.00331925095425345,0.013302385373354621,0.021751356108752458,0.0859375,0.13714438904901335,0.9076584429660031
gate,oracle,0.317,0,9,511,129664,512,-0.001576326210771306,0.005766368519499299,0.013511434718933804,0.018062230177384953,0.07421875,0.13714438904901335,0.9076584429660031
