model,theta,path_index,path_phase,levels,maximum_depth,target_only_budget,anchored_budget,nuisance_total_variation,minimum_visibility,known_fisher,anchored_efficient_fisher,unanchored_efficient_fisher,stationary_unknown_fisher,anchor_efficiency_fraction,known_local_error,anchored_local_error
gate,0.173,2,1.31,9,511,129664,259328,0.011999999999999997,7.571823413013621e-05,233263.41978546497,214787.17785750664,9.109157872444484e-12,20335808.758562256,0.9207923730821097,0.0020705068937294465,0.0021577236619033124
gate,0.231,0,0.19,3,7,1408,2816,0.012,0.851583896697063,5145.110494568683,4807.899823889114,0.0,3660.986132530101,0.9344599749537861,0.013941279912147149,0.014421893856451882
gate,0.231,0,0.19,4,15,3328,6656,0.011999999999999997,0.6936695640959889,34347.159006967035,24514.508088300205,8.185452315956354e-12,49862.739124789296,0.7137273881466482,0.005395784418630703,0.006386874882018456
gate,0.231,0,0.19,5,31,7296,14592,0.012,0.4994908919528128,159278.40318624166,145208.11140350014,9.663381206337363e-13,363678.45697921194,0.9116622749771709,0.0025056566157329254,0.002624246106434324
gate,0.231,0,0.19,6,63,15360,30720,0.012,0.24040111873361045,246468.48891825243,210601.54914993973,1.1368683772161603e-13,927523.8453342218,0.8544765705111744,0.0020142774869689015,0.002179060153755943
gate,0.231,0,0.19,7,127,31616,63232,0.012,0.06082596852167793,302103.3119286666,255439.66609667492,3.637978807091713e-11,3480698.015395166,0.8455374569246363,0.001819375142450726,0.001978590097064303
gate,0.231,0,0.19,8,255,64256,128512,0.012,0.0036835819522181338,340047.041691664,290340.4116855864,0.0,13184413.663716845,0.8538242539655767,0.001714867222800102,0.001855864463383818
gate,0.231,0,0.19,9,511,129664,259328,0.012,1.4065432475528337e-05,369580.99989025714,311165.9894607265,1.4665602933450206e-11,17523795.779260516,0.8419426040654787,0.001644921518366744,0.001792684810928019
gate,0.231,1,0.73,3,7,1408,2816,0.012,0.8627225209494186,5193.860035970007,4827.275205355642,0.0,3686.7857874723863,0.9294195784877555,0.013875699276635683,0.014392921958639322
gate,0.231,1,0.73,4,15,3328,6656,0.012,0.7417673965132884,40675.88046974465,29437.5758700375,1.4551915228366852e-11,51941.04862089568,0.723710846085646,0.004958285371915718,0.00582839501545998
gate,0.231,1,0.73,5,31,7296,14592,0.011999999999999997,0.5279887471249908,173272.70619631835,159007.11769103515,3.637978807091713e-11,368855.1206219335,0.9176697310358837,0.002402342479820721,0.002507793182382958
gate,0.231,1,0.73,6,63,15360,30720,0.011999999999999993,0.2731389181835914,257806.79305708516,216979.51701539033,2.9103830456733704e-11,933684.6241091265,0.8416361510200602,0.0019694856540778587,0.0021467952758536385
