trial,pair_budget,best_gap,fraction_of_optimum
72,256,0.005643404475136893,0.5379625050634612
72,1024,0.010395677164022232,0.9909770872577338
73,16,0.005323975342984122,0.5075126415315754
73,64,0.005398225835506865,0.5145906351674581
73,256,0.005398225835506865,0.5145906351674581
73,1024,0.010465960849595723,0.9976769415252752
74,16,0.005245837287480404,0.5000640625284642
74,64,0.005245837287480404,0.5000640625284642
74,256,0.005245837287480404,0.5000640625284642
74,1024,0.010389469731477363,0.9903853582798514
75,16,0.0018864170020963522,0.17982436320363898
75,64,0.010103308896439511,0.963106824489434
75,256,0.010103308896439511,0.963106824489434
75,1024,0.010402420117129552,0.9916198652051804
76,16,0.00037882979064096656,0.03611228365142788
76,64,0.001241821840376689,0.11837776133800089
76,256,0.010397502103870915,0.9911510512571091
76,1024,0.010397502103870915,0.9911510512571091
77,16,0.005544478418061494,0.5285322914902897
77,64,0.005544478418061494,0.5285322914902897
77,256,0.010369383474553961,0.9884706181368281
77,1024,0.010369383474553961,0.9884706181368281
78,16,0.0007180416935255174,0.06844795723766148
78,64,0.005368712540505749,0.5117772543117305
78,256,0.010296730024917267,0.9815448640215145
78,1024,0.010490330500768197,1.0
79,16,0.010490311668011842,0.9999982047509034
79,64,0.010490311668011842,0.9999982047509034
79,256,0.010490311668011842,0.9999982047509034
79,1024,0.010490311668011842,0.9999982047509034
80,16,0.0026726450722756034,0.25477224688773037
80,64,0.004054858003744277,0.3865329127092177
80,256,0.010467361180653056,0.997810429317412
80,1024,0.010467361180653056,0.997810429317412
81,16,0.005488855325914699,0.5232299712113698
81,64,0.005488855325914699,0.5232299712113698
81,256,0.005488855325914699,0.5232299712113698
81,1024,0.010376548337816982,0.9891536150416917
82,16,0.002822211719663681,0.26902981936145987
82,64,0.010395677164022232,0.9909770872577338
