case,qubits,setting,bond,cutoff,schedule,method,ordering,p_bks_exact,p_bks_mps,actual_bks_error,true_tvd,epsilon_mps,certificate_slack_bks,certificate_slack_tvd,number_of_truncations,sum_discarded_weight,max_discarded_weight,max_bond_seen,runtime_seconds,peak_memory_bytes,circuit_sha256,raw_log_path
chesapeake,7,cutoff1e-5,1024,1e-05,LR,published_lr,sorted,0.7982931304718344,0.7980862006421245,0.0002069298297098232,0.000612531408263289,0.18703769059345718,0.18683076076374736,0.1864251591851939,115,0.000372909046277231,9.2268e-06,8,0.020254399976693094,96129024,02fcc7d04a10b262d867653a6d6b3876bccac57b1e1a22c457357575f111a2e9,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\chesapeake__cutoff1e-5__published_lr__sorted.mps.log
chesapeake,7,cutoff1e-5,1024,1e-05,LR,published_lr,spectral,0.7982931304718348,0.7980059718068764,0.00028715866495843123,0.0008419344398854153,0.17288410481556873,0.1725969461506103,0.1720421703756833,106,0.00033037348118,9.64513e-06,8,0.02031610003905371,96083968,b70b87114143b211075d18dfd2cee48379b8d9984347da8b9dbfa4d75782e677,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\chesapeake__cutoff1e-5__published_lr__spectral.mps.log
chesapeake,7,cutoff1e-5,1024,1e-05,MR,prior_matched_random,sorted,0.6640795390180093,0.6638252542041261,0.0002542848138832321,0.001699486716333093,0.09670236552937628,0.09644808071549305,0.09500287881304319,52,0.0002136211703502,9.45237e-06,8,0.02012759994249791,95809536,f1d5e3cdd24d4be91b3e3a91da8105a8a12695da5251a86453a4a67a5d2b9672,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\chesapeake__cutoff1e-5__prior_matched_random__sorted.mps.log
chesapeake,7,cutoff1e-5,1024,1e-05,MR,prior_matched_random,spectral,0.6640795390180081,0.6636589242033901,0.00042061481461797,0.0019545838610036375,0.07889419428927465,0.07847357947465668,0.07693961042827101,42,0.00016859995000000002,9.77543e-06,8,0.018381399975623935,95559680,2a8fea151092fa42dbafe5c2ded6d198206a7084ac9539fb5710e0d9724cf265,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\chesapeake__cutoff1e-5__prior_matched_random__spectral.mps.log
chesapeake,7,released,64,0.001,LR,published_lr,sorted,0.7982931304718344,0.8292799106578757,0.030986780186041285,0.03347133707769006,1.0,0.9690132198139587,0.96652866292231,455,0.11937044821,0.000998384,6,0.01770819997182116,95801344,02fcc7d04a10b262d867653a6d6b3876bccac57b1e1a22c457357575f111a2e9,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\chesapeake__released__published_lr__sorted.mps.log
chesapeake,7,released,64,0.001,LR,published_lr,spectral,0.7982931304718348,0.8285608631066143,0.030267732634779443,0.03455214301658921,1.0,0.9697322673652206,0.9654478569834108,354,0.11028910308,0.000991507,6,0.01720170001499355,95690752,b70b87114143b211075d18dfd2cee48379b8d9984347da8b9dbfa4d75782e677,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\chesapeake__released__published_lr__spectral.mps.log
chesapeake,7,released,64,0.001,MR,prior_matched_random,sorted,0.6640795390180093,0.7206113313018295,0.056531792283820215,0.06780305140321041,1.0,0.9434682077161798,0.9321969485967896,375,0.0997095897199502,0.000993,7,0.018283999990671873,95870976,f1d5e3cdd24d4be91b3e3a91da8105a8a12695da5251a86453a4a67a5d2b9672,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\chesapeake__released__prior_matched_random__sorted.mps.log
chesapeake,7,released,64,0.001,MR,prior_matched_random,spectral,0.6640795390180081,0.706761156777852,0.042681617759843915,0.060392334497697604,1.0,0.9573183822401561,0.9396076655023023,281,0.08578992048,0.00099677,8,0.017378400021698326,95875072,2a8fea151092fa42dbafe5c2ded6d198206a7084ac9539fb5710e0d9724cf265,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\chesapeake__released__prior_matched_random__spectral.mps.log
football,7,bond128,128,1e-12,LR,published_lr,sorted,0.8627678117715563,0.8627678106768288,1.0947274198258583e-09,9.191171335935359e-09,2.5523861384986405e-07,2.541438864300382e-07,2.460474425139287e-07,1,6.51467e-14,6.51467e-14,8,0.016633699997328222,95653888,093e3201a84d816685dd2caa55a1d3dfdb2e7ec0acbc1e7e1ccb81e6a8c82533,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\football__bond128__published_lr__sorted.mps.log
football,7,bond128,128,1e-12,LR,published_lr,spectral,0.8627678117715568,0.8627678112776701,4.938867093073895e-10,2.2397708706965874e-08,6.724382294631619e-07,6.719443427538546e-07,6.50040520756196e-07,2,2.3920210000000003e-13,1.74056e-13,8,0.016055100015364587,95354880,aba61caf0209628f8fadd3af3bb5a6a6b44ca8c3f4ddc10dae649062e2d05dbe,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\football__bond128__published_lr__spectral.mps.log
