case,qubits,method,schedule,ordering,setting,bond,cutoff,circuit_file,circuit_sha256,bks_projector_rank,native_gate_count,checkpoint_count,p_bks_exact,p_bks_mps,actual_bks_error,observable_telescope_bound,telescope_signed_sum,telescope_identity_error,bound_slack,cancellation_ratio,simulation_seconds
football,7,prior_matched_random,MR,sorted,bond128,128,1e-12,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\football__prior_matched_random__sorted.qpy,769b1bd4951dc0bbaf323209e3ea97e056cf3b3f338a3c7a54850ca6a1eb885d,4,382,167,0.8820366866508706,0.8820366866994565,4.8585802048251026e-11,2.368170104460887e-10,4.85855800036461e-11,2.220446049250313e-16,1.882312083978377e-10,4.874201936831329,0.014672200020868331
football,7,prior_matched_random,MR,spectral,bond128,128,1e-12,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\football__prior_matched_random__spectral.qpy,49f11250c9649cf1d9f9885652767f4884c681083deebd0fc3b92443f8dc3deb,4,382,167,0.8820366866508698,0.8820366867039678,5.309808148723505e-11,2.6948743236943073e-10,5.3098747621049824e-11,6.661338147750939e-16,2.1638935088219569e-10,5.075276258977763,0.01374759996542707
football,7,published_lr,LR,sorted,bond128,128,1e-12,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\football__published_lr__sorted.qpy,093e3201a84d816685dd2caa55a1d3dfdb2e7ec0acbc1e7e1ccb81e6a8c82533,4,382,167,0.8627678117715563,0.8627678106768284,1.0947278639150682e-09,1.3805511178688334e-09,-1.0947281969819755e-09,3.3306690738754696e-16,2.858232539537653e-10,1.2610906905498664,0.01555529999313876
football,7,published_lr,LR,spectral,bond128,128,1e-12,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\football__published_lr__spectral.qpy,aba61caf0209628f8fadd3af3bb5a6a6b44ca8c3f4ddc10dae649062e2d05dbe,4,382,167,0.8627678117715568,0.86276781127767,4.93886820329692e-10,1.9607329093673798e-09,-4.938862652181797e-10,5.551115123125783e-16,1.4668460890376878e-09,3.97000452058733,0.014156499993987381
football,7,prior_matched_random,MR,sorted,confirm,128,0.0001,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\football__prior_matched_random__sorted.qpy,769b1bd4951dc0bbaf323209e3ea97e056cf3b3f338a3c7a54850ca6a1eb885d,4,382,167,0.8820366866508706,0.882650191093082,0.0006135044422113101,0.01457334829329171,0.000613504442211088,2.220446049250313e-16,0.0139598438510804,23.754266946729285,0.014703700027894229
football,7,prior_matched_random,MR,spectral,confirm,128,0.0001,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\football__prior_matched_random__spectral.qpy,49f11250c9649cf1d9f9885652767f4884c681083deebd0fc3b92443f8dc3deb,4,382,167,0.8820366866508698,0.883748022460414,0.00171133580954419,0.00981643944859667,0.001711335809544856,6.661338147750939e-16,0.00810510363905248,5.736126944723522,0.014054199971724302
football,7,published_lr,LR,sorted,confirm,128,0.0001,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\football__published_lr__sorted.qpy,093e3201a84d816685dd2caa55a1d3dfdb2e7ec0acbc1e7e1ccb81e6a8c82533,4,382,167,0.8627678117715563,0.8634577772877989,0.0006899655162426743,0.005735469653601055,0.0006899655162423413,3.3306690738754696e-16,0.005045504137358381,8.312690299124716,0.014448800007812679
football,7,published_lr,LR,spectral,confirm,128,0.0001,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\football__published_lr__spectral.qpy,aba61caf0209628f8fadd3af3bb5a6a6b44ca8c3f4ddc10dae649062e2d05dbe,4,382,167,0.8627678117715568,0.8631528783755975,0.0003850666040406958,0.007830872072361217,0.0003850666040412509,5.551115123125783e-16,0.007445805468320521,20.33640931253963,0.013761300011537969
football,7,prior_matched_random,MR,sorted,cutoff1e-4,1024,0.0001,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\football__prior_matched_random__sorted.qpy,769b1bd4951dc0bbaf323209e3ea97e056cf3b3f338a3c7a54850ca6a1eb885d,4,382,167,0.8820366866508706,0.882650191093082,0.0006135044422113101,0.01457334829329171,0.000613504442211088,2.220446049250313e-16,0.0139598438510804,23.754266946729285,0.014581700030248612
football,7,prior_matched_random,MR,spectral,cutoff1e-4,1024,0.0001,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\football__prior_matched_random__spectral.qpy,49f11250c9649cf1d9f9885652767f4884c681083deebd0fc3b92443f8dc3deb,4,382,167,0.8820366866508698,0.883748022460414,0.00171133580954419,0.00981643944859667,0.001711335809544856,6.661338147750939e-16,0.00810510363905248,5.736126944723522,0.013947899977210909
football,7,published_lr,LR,sorted,cutoff1e-4,1024,0.0001,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\football__published_lr__sorted.qpy,093e3201a84d816685dd2caa55a1d3dfdb2e7ec0acbc1e7e1ccb81e6a8c82533,4,382,167,0.8627678117715563,0.8634577772877989,0.0006899655162426743,0.005735469653601055,0.0006899655162423413,3.3306690738754696e-16,0.005045504137358381,8.312690299124716,0.014040800044313073
football,7,published_lr,LR,spectral,cutoff1e-4,1024,0.0001,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\football__published_lr__spectral.qpy,aba61caf0209628f8fadd3af3bb5a6a6b44ca8c3f4ddc10dae649062e2d05dbe,4,382,167,0.8627678117715568,0.8631528783755975,0.0003850666040406958,0.007830872072361217,0.0003850666040412509,5.551115123125783e-16,0.007445805468320521,20.33640931253963,0.012915000028442591
football,7,prior_matched_random,MR,sorted,cutoff1e-5,1024,1e-05,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\football__prior_matched_random__sorted.qpy,769b1bd4951dc0bbaf323209e3ea97e056cf3b3f338a3c7a54850ca6a1eb885d,4,382,167,0.8820366866508706,0.8819604462751129,7.624037575770792e-05,0.0019829579679546683,-7.624037575792997e-05,2.220446049250313e-16,0.0019067175921969604,26.009289018413458,0.014862500014714897
football,7,prior_matched_random,MR,spectral,cutoff1e-5,1024,1e-05,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\football__prior_matched_random__spectral.qpy,49f11250c9649cf1d9f9885652767f4884c681083deebd0fc3b92443f8dc3deb,4,382,167,0.8820366866508698,0.8818750503793547,0.00016163627151510873,0.00255762995349329,-0.0001616362715144426,6.661338147750939e-16,0.0023959936819781813,15.82336643575832,0.013960500014945865
football,7,published_lr,LR,sorted,cutoff1e-5,1024,1e-05,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\football__published_lr__sorted.qpy,093e3201a84d816685dd2caa55a1d3dfdb2e7ec0acbc1e7e1ccb81e6a8c82533,4,382,167,0.8627678117715563,0.8625330849255892,0.00023472684596703708,0.001329323833863083,-0.00023472684596737015,3.3306690738754696e-16,0.001094596987896046,5.6632799217596155,0.014327600016258657
football,7,published_lr,LR,spectral,cutoff1e-5,1024,1e-05,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\football__published_lr__spectral.qpy,aba61caf0209628f8fadd3af3bb5a6a6b44ca8c3f4ddc10dae649062e2d05dbe,4,382,167,0.8627678117715568,0.8626734467236692,9.436504788762345e-05,0.0013189352812805755,-9.436504788706834e-05,5.551115123125783e-16,0.001224570233392952,13.976947087985971,0.013939099968411028
football,7,prior_matched_random,MR,sorted,released,64,0.001,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\football__prior_matched_random__sorted.qpy,769b1bd4951dc0bbaf323209e3ea97e056cf3b3f338a3c7a54850ca6a1eb885d,4,382,167,0.8820366866508706,0.9275085681689453,0.045471881518074686,0.07147910138602287,0.045471881518074464,2.220446049250313e-16,0.026007219867948184,1.5719407026870118,0.014420200022868812
football,7,prior_matched_random,MR,spectral,released,64,0.001,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\football__prior_matched_random__spectral.qpy,49f11250c9649cf1d9f9885652767f4884c681083deebd0fc3b92443f8dc3deb,4,382,167,0.8820366866508698,0.9150334353302749,0.03299674867940516,0.055968449668809095,0.03299674867940583,6.661338147750939e-16,0.02297170098940393,1.6961807423087614,0.013449799967929721
football,7,published_lr,LR,sorted,released,64,0.001,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\football__published_lr__sorted.qpy,093e3201a84d816685dd2caa55a1d3dfdb2e7ec0acbc1e7e1ccb81e6a8c82533,4,382,167,0.8627678117715563,0.8756512505014545,0.012883438729898278,0.06139117550112139,0.012883438729897945,3.3306690738754696e-16,0.04850773677122311,4.765123410619589,0.013284899992868304
football,7,published_lr,LR,spectral,released,64,0.001,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\football__published_lr__spectral.qpy,aba61caf0209628f8fadd3af3bb5a6a6b44ca8c3f4ddc10dae649062e2d05dbe,4,382,167,0.8627678117715568,0.8760224887262656,0.013254676954708833,0.05263496933394152,0.013254676954709388,5.551115123125783e-16,0.039380292379232684,3.971048824033581,0.013197299966122955
