job,model,mode,target_mask,seed,optimization_grid,midpoint_substeps_2,midpoint_substeps_4,midpoint_substeps_8,midpoint_substeps_16,midpoint_substeps_32,midpoint_substeps_64,adaptive_ode_reference,optimization_minus_reference,full_c6_adaptive_ode_transfer
full_c6_uniform:uniform_mask:target_10,full_c6_uniform,uniform_mask,10,4100,0.4998898208141327,0.4998373839465542,0.3841399546379105,0.3224867907448149,0.3081768371338378,0.30460281944166995,0.30371017703480574,0.30341286102801746,0.19647695978611524,
full_c6_uniform:uniform_mask:target_10,full_c6_uniform,uniform_mask,10,4101,0.49091672897338867,0.490869105467805,0.38954779319718374,0.41098113341544484,0.4140417582497714,0.41421917884080706,0.4141779301090908,0.4141604072841303,0.07675632168925839,
full_c6_uniform:uniform_mask:target_10,full_c6_uniform,uniform_mask,10,4102,0.499097615480423,0.4991286992495701,0.18734623416536877,0.09139055736514162,0.07951561768720643,0.0773414940487037,0.0768283406700299,0.0766601580193584,0.4224374574610646,
full_c6_uniform:uniform_mask:target_10,full_c6_uniform,uniform_mask,10,4103,0.5000318288803101,0.4999717908201086,0.36998531276763325,0.3456390931177438,0.33900014340395856,0.336802842374026,0.33625420520107335,0.33607133653950244,0.16396049234080762,
full_c6_uniform:uniform_mask:target_10,full_c6_uniform,uniform_mask,10,4104,0.48534882068634033,0.4853725514582433,0.3313899603825824,0.3251518433280702,0.31460109146268495,0.3132191514502585,0.31285349225422027,0.3127329496386429,0.17261587104769743,
full_c6_uniform:uniform_mask:target_10,full_c6_uniform,uniform_mask,10,4105,0.4995577931404114,0.4994785973958676,0.3706796093057674,0.3377437376513923,0.33076024936344356,0.32889566930895703,0.3284260252024529,0.32826908382827485,0.17128870931213652,
full_c6_uniform:uniform_mask:target_5,full_c6_uniform,uniform_mask,5,4100,0.4999634027481079,0.49994925804804324,0.35607379784167903,0.33216138274512763,0.3223748569453676,0.3196172577607722,0.31891201450402507,0.31867567038621136,0.18128773236189655,
full_c6_uniform:uniform_mask:target_5,full_c6_uniform,uniform_mask,5,4101,0.4997541308403015,0.4997204745813273,0.22122413518326012,0.15295402269662003,0.1477832731931556,0.14626225756660813,0.14585507189488736,0.14571966290732674,0.3540344679329748,
full_c6_uniform:uniform_mask:target_5,full_c6_uniform,uniform_mask,5,4102,0.49954473972320557,0.4994878675952334,0.43026818740746525,0.3950321046709399,0.3843537230744787,0.38184073658491574,0.38113302689023965,0.3808963045597068,0.11864843516349877,
full_c6_uniform:uniform_mask:target_5,full_c6_uniform,uniform_mask,5,4103,0.499898761510849,0.4999268129864882,0.0114912857569571,0.01695914218107523,0.0178969117149119,0.018033112897036654,0.018070550013142617,0.018082879210733944,0.4818158823001151,
full_c6_uniform:uniform_mask:target_5,full_c6_uniform,uniform_mask,5,4104,0.4999472200870514,0.4999351312909677,0.41946662002982726,0.4373868060910895,0.4444738776270053,0.4456295700938006,0.4459183156835469,0.44601423032638476,0.05393298976066663,
full_c6_uniform:uniform_mask:target_5,full_c6_uniform,uniform_mask,5,4105,0.4999384582042694,0.4998720261971049,0.36769276668111717,0.34108161682089266,0.33908084119803605,0.33886012982150193,0.33877103453401414,0.33874170010577004,0.16119675809849937,
hard_blockade_projected_c6:gradient_mask:target_10,hard_blockade_projected_c6,gradient_mask,10,4100,1.0000286102294922,0.9999999133471548,0.5795128601245627,0.4592477168644275,0.4307248761309795,0.42378538872857563,0.4220628915984779,0.42148983244847077,0.5785387777810214,0.42685492725037466
hard_blockade_projected_c6:gradient_mask:target_10,hard_blockade_projected_c6,gradient_mask,10,4101,0.9999833106994629,0.9999352212508966,0.5701448397978944,0.47824182969464546,0.4483382790515641,0.44145164221125965,0.4397563015363504,0.43919337920541374,0.5607899314940492,0.44373936360243355
