method,replicate,evaluation,params,score,approximation_ratio_unconditional,optimal_probability,feasible_probability,expected_feasible_size_unconditional,expected_size_given_feasible
random_search,1,198,"[2.4490077503444403, 2.7773652226434, 2.6447810610013396, 1.9835016708800404, 1.7463579772705229]",0.002866360106093385,0.0022682053579690404,0.00018644151013976664,0.0055154437058940325,0.009072821431876162,1.6449848671613794
random_search,1,199,"[3.3683648398469686, 2.14356820869898, 0.7596547940412081, 0.3933988797575788, 2.170042974140255]",0.0030722315816086487,0.002497206504818567,0.0001615388208378428,0.005346403715806211,0.009988826019274267,1.8683261777899618
random_search,1,200,"[1.3788406181206332, 1.1009631017940213, 0.3289984277435918, 1.464545208900245, 2.409429225226002]",0.0012736638356366586,0.0010525469413201502,0.0002144966353497923,0.0016749273547906028,0.004210187765280601,2.513653952357207
random_search,1,201,"[1.9824417625123556, 1.2292047671403823, 0.35631348548239455, 4.240645874436105, 2.014707831190194]",0.0010760534892387016,0.0008888896952883971,9.70559634649918e-05,0.0016289980308405647,0.0035555587811535883,2.18266610139419
random_search,1,202,"[1.3433973889957407, 1.7594441752606786, 2.466347965799492, 1.7263580311087556, 2.631337533661316]",0.0007429515767152591,0.0006208488921239385,6.064566138562407e-05,0.0010694126924491463,0.002483395568495754,2.32220506267635
random_search,1,203,"[2.502240567412353, 2.7013910379349526, 2.4812815181250807, 2.953474300083598, 2.261161848949039]",0.004444611645502781,0.0033391385294578827,0.00011308935118946554,0.010772007782475317,0.01335655411783153,1.2399317181668714
random_search,1,204,"[2.6233655446393724, 2.3600565089644756, 1.1149078324423052, 2.5758356956619957, 5.712447331866538]",0.004694894851552803,0.0038431926751793443,0.00021947439616561604,0.007968335773320541,0.015372770700717377,1.929232293672695
random_search,1,205,"[3.54059381246522, 1.271409512395746, 0.8803516108613968, 4.51313545557327, 3.3752005397299705]",0.001427962608222197,0.0011638639406285447,0.0001836538276300301,0.002181852106861448,0.004655455762514179,2.133717380694039
random_search,1,206,"[1.7180466487541646, 1.2943718517004401, 2.811925116918484, 2.2023240320220343, 1.6729503458625372]",0.000648757349157496,0.0005431428731653809,0.00012155823783634341,0.0007522491653302933,0.0021725714926615234,2.888100901657502
random_search,1,207,"[3.4916034593920324, 0.9516906298678509, 2.2559350874618214, 3.466131028556893, 0.04702380940355184]",0.18442311200485512,0.15068833249324323,0.026938390502900787,0.27000181885886676,0.6027533299729729,2.2324047020143944
random_search,1,208,"[1.6360369838003763, 1.3664285881079965, 3.0047113425198435, 1.3035166232239244, 3.849067027247006]",0.000985454957104473,0.0008103465566983447,0.00024551180604771324,0.0011373044889419993,0.003241386226793379,2.8500601714926357
