estimator,theta,curvature,depth,duration,physical_depth_budget,trials,bias,deterministic_bias,rmse,median_absolute_error,q90_absolute_error,crossover_xi,normalized_absolute_deterministic_bias
amplified_rtr,0.231,1e-08,31,31.0,47616,4096,-3.427572576613288e-05,-4.805000000000001e-06,0.0012409164081314782,0.0008431966408676966,0.0020456962904699116,0.00029791,0.000148955
amplified_rtr,0.231,1e-08,63,63.0,96768,4096,-1.8842009873663106e-05,-1.9844999999999997e-05,0.0005861032941116409,0.0003948591423604264,0.0009761033163893096,0.00250047,0.0012502349999999997
amplified_rtr,0.231,1e-08,127,127.0,195072,4096,-8.075130907786039e-05,-8.064500000000001e-05,0.000292003595527509,0.00019203823577794432,0.00048539421173449115,0.02048383,0.010241915
amplified_rtr,0.231,1e-08,255,255.0,391680,4096,-0.0003304696138513442,-0.000325125,0.00036787367051605566,0.00032933061005634146,0.0005375791180447786,0.16581375,0.082906875
amplified_rtr,0.231,3e-08,1,1.0,1536,4096,-0.0008194010621311736,-1.4999999999999995e-08,0.037934276575354454,0.025852552106801707,0.06211451803398915,3e-08,1.4999999999999995e-08
amplified_rtr,0.231,3e-08,3,3.0,4608,4096,0.0003792521138037073,-1.3499999999999998e-07,0.012824305470017216,0.008643491266495412,0.021255671550314464,8.1e-07,4.0499999999999993e-07
amplified_rtr,0.231,3e-08,7,7.0,10752,4096,4.3676846396699886e-05,-7.35e-07,0.005874331575784177,0.003979128302073698,0.009646550532525833,1.029e-05,5.145e-06
amplified_rtr,0.231,3e-08,15,15.0,23040,4096,-1.8531744666878998e-06,-3.3749999999999995e-06,0.0023691127173878766,0.0015883097318606099,0.003923958158866647,0.00010125,5.062499999999999e-05
amplified_rtr,0.231,3e-08,31,31.0,47616,4096,-2.3306010043789697e-05,-1.4415000000000002e-05,0.0012592684788080488,0.0008293831405689345,0.0020546878833287985,0.0008937299999999999,0.00044686500000000007
amplified_rtr,0.231,3e-08,63,63.0,96768,4096,-5.7053328322729875e-05,-5.953499999999999e-05,0.0005948542074995821,0.0003979415211988191,0.0009804903390561448,0.007501409999999999,0.0037507049999999996
amplified_rtr,0.231,3e-08,127,127.0,195072,4096,-0.00023996949706982555,-0.00024193499999999993,0.0003717545227773767,0.0002640853785481623,0.000608163886148011,0.06145149,0.030725744999999992
amplified_rtr,0.231,3e-08,255,255.0,391680,4096,-0.0009771231863479148,-0.0009753750000000001,0.0009912925932752427,0.000974571347628142,0.001193772277105598,0.49744124999999995,0.24872062500000003
amplified_rtr,0.231,1e-07,1,1.0,1536,4096,0.0006860469103799679,-5.0000000000000004e-08,0.03853671375384859,0.025788961869996824,0.06373815086393936,1e-07,5.0000000000000004e-08
amplified_rtr,0.231,1e-07,3,3.0,4608,4096,0.00012586038346571094,-4.499999999999999e-07,0.013050970492288344,0.009030432594659077,0.021506817819561236,2.7e-06,1.3499999999999996e-06
amplified_rtr,0.231,1e-07,7,7.0,10752,4096,2.2206006891699184e-05,-2.45e-06,0.005974694490321007,0.003928380219692745,0.009909912856125136,3.43e-05,1.715e-05
amplified_rtr,0.231,1e-07,15,15.0,23040,4096,-1.9207457622504236e-05,-1.1249999999999997e-05,0.0023484109293342085,0.0015792066478955147,0.003907343292950061,0.00033749999999999996,0.00016874999999999995
amplified_rtr,0.231,1e-07,31,31.0,47616,4096,-4.7993799480591314e-05,-4.8049999999999996e-05,0.0012356467075096602,0.0008307837877445379,0.002009937421205074,0.0029790999999999997,0.0014895499999999999
amplified_rtr,0.231,1e-07,63,63.0,96768,4096,-0.00018134605459713522,-0.00019844999999999997,0.0006018063502541135,0.00040720148493045283,0.0009882303571393247,0.025004699999999998,0.012502349999999999
amplified_rtr,0.231,1e-07,127,127.0,195072,4096,-0.0008099831715195416,-0.00080645,0.0008551327146512405,0.0008108854134846327,0.0011625137856497714,0.2048383,0.10241915
amplified_rtr,0.231,1e-07,255,255.0,391680,4096,-0.003251980803539166,-0.003251250000000001,0.003256037794530251,0.003251397584726451,0.003465932817149492,1.6581374999999998,0.8290687500000002
amplified_rtr,0.231,3e-07,1,1.0,1536,4096,-0.00047463227466503324,-1.5e-07,0.03808828636522802,0.0248309925564541,0.06357729002660428,3e-07,1.5e-07
amplified_rtr,0.231,3e-07,3,3.0,4608,4096,0.00033448186611174794,-1.35e-06,0.01312111484244363,0.00886981857066349,0.0215901001399455,8.1e-06,4.05e-06
amplified_rtr,0.231,3e-07,7,7.0,10752,4096,-6.249908832076459e-05,-7.350000000000001e-06,0.005968312625381315,0.004031422723347153,0.009725478509481175,0.0001029,5.1450000000000004e-05
amplified_rtr,0.231,3e-07,15,15.0,23040,4096,-3.652924187887017e-05,-3.3749999999999994e-05,0.002396117350751921,0.0016168848606752384,0.003978671288245361,0.0010125,0.0005062499999999999
amplified_rtr,0.231,3e-07,31,31.0,47616,4096,-0.00016711244179332325,-0.00014415,0.0012639906100813413,0.0008427422091221437,0.0020460155899192367,0.0089373,0.00446865
amplified_rtr,0.231,3e-07,63,63.0,96768,4096,-0.0005885473439521953,-0.0005953500000000001,0.000818599159848524,0.0006294286046812092,0.0013050507754464452,0.0750141,0.03750705000000001
amplified_rtr,0.231,3e-07,127,127.0,195072,4096,-0.0024248259026787896,-0.0024193500000000002,0.0024400682351185194,0.002420187768638671,0.002779895643717681,0.6145149,0.30725745000000004
amplified_rtr,0.231,3e-07,255,255.0,391680,4096,-0.009751813680018834,-0.00975375,0.009752996797273355,0.009751482876374451,0.009947064432234476,4.9744125,2.4872062500000003
amplified_rtr,0.231,1e-06,1,1.0,1536,4096,0.0009817126517131735,-5e-07,0.03782848731050778,0.02440994173942404,0.06310566807478996,1e-06,5e-07
amplified_rtr,0.231,1e-06,3,3.0,4608,4096,0.00040620504258119793,-4.5e-06,0.013003373029230814,0.00898847179404802,0.021266355542564494,2.7e-05,1.35e-05
amplified_rtr,0.231,1e-06,7,7.0,10752,4096,5.411716117524226e-05,-2.4499999999999996e-05,0.006051463324698045,0.004012962903422096,0.009905803822076661,0.000343,0.00017149999999999997
amplified_rtr,0.231,1e-06,15,15.0,23040,4096,-0.00013331975258568124,-0.0001125,0.0024008127001183175,0.0016244618585483511,0.003943727676696651,0.003375,0.0016875
amplified_rtr,0.231,1e-06,31,31.0,47616,4096,-0.000512129509191838,-0.00048049999999999986,0.001349313579587277,0.0009101460130399447,0.0022162668167766963,0.029790999999999998,0.014895499999999996
amplified_rtr,0.231,1e-06,63,63.0,96768,4096,-0.0019610957244669265,-0.0019844999999999997,0.0020373259186160586,0.0019599513030970628,0.00267873212046163,0.25004699999999996,0.12502349999999998
amplified_rtr,0.231,1e-06,127,127.0,195072,4096,-0.008069425304388216,-0.0080645,0.008073915235066974,0.008066781172297033,0.008412674328519568,2.048383,1.0241915000000001
amplified_rtr,0.231,1e-06,255,255.0,391680,4096,-0.032511677822653455,-0.0325125,0.03251208583287886,0.032512837187839524,0.03271972204436269,16.581374999999998,8.2906875
direct_depth1_equal_cost,0.231,0.0,1,1.0,1536,4096,0.0001557249340569417,0.0,0.037402457813722936,0.02504450118828569,0.06067215349847113,0.0,0.0
direct_depth1_equal_cost,0.231,0.0,3,1.0,4608,4096,0.0003008366644120386,0.0,0.02173094206928826,0.01424319108812036,0.03603868441837019,0.0,0.0
direct_depth1_equal_cost,0.231,0.0,7,1.0,10752,4096,0.0005344132326118149,0.0,0.014453140189743106,0.00972350210839698,0.02369280434756077,0.0,0.0
direct_depth1_equal_cost,0.231,0.0,15,1.0,23040,4096,-0.00018917340639975884,0.0,0.009955063999467367,0.006744929845652295,0.01631528787034016,0.0,0.0
direct_depth1_equal_cost,0.231,0.0,31,1.0,47616,4096,-4.5899129821127964e-05,0.0,0.006723173601037493,0.004590518473316041,0.011031973979801601,0.0,0.0
direct_depth1_equal_cost,0.231,0.0,63,1.0,96768,4096,5.674600791683941e-05,0.0,0.004790713454663961,0.003177991348465692,0.007870851553653468,0.0,0.0
direct_depth1_equal_cost,0.231,0.0,127,1.0,195072,4096,1.8700345755357444e-05,0.0,0.003421282999114782,0.0022610428967923535,0.005638097439336104,0.0,0.0
direct_depth1_equal_cost,0.231,0.0,255,1.0,391680,4096,4.167154220377633e-05,0.0,0.0023972558524574545,0.00157987667345047,0.004012569646062086,0.0,0.0
amplified_rtr,0.317,0.0,1,1.0,1536,4096,0.0001793434113571867,0.0,0.036401591893337346,0.024230019645861106,0.05977642567327826,0.0,0.0
amplified_rtr,0.317,0.0,3,3.0,4608,4096,-0.00032862008791034833,0.0,0.012576389379969627,0.008677693712054624,0.020319546445952963,0.0,0.0
amplified_rtr,0.317,0.0,7,7.0,10752,4096,0.0002093806013680578,0.0,0.005918106370074218,0.004006477890625887,0.009637570290087882,0.0,0.0
amplified_rtr,0.317,0.0,15,15.0,23040,4096,2.9859816202758903e-05,0.0,0.002843227833617653,0.0019424565248472858,0.004702544421813698,0.0,0.0
