case,qubits,setting,method,schedule,ordering,actual_bks_error,true_tvd,epsilon_rigorous,accumulated_angle,p_bks_mps,number_of_truncations,sum_w,sqrt_sum_w,product_trace,rss_angle,sum_w_raw
ibm32,18,cutoff1e-5,prior_matched_random,MR,spectral,0.0012489060103556548,0.013848776915588541,1.0,1.5707963267948966,0.13221229631846987,1526,0.011485593543449947,0.10717086144773656,0.10686408875912888,0.10696597447722367,0.011485593543449947
ibm32,18,released,published_lr,LR,sorted,0.18678892912182088,0.2640609555632977,1.0,1.5707963267948966,0.5638753205580647,2876,1.0,1.0,0.8197827164160992,0.8703047969396805,1.1145231880761715
ibm32,18,released,published_lr,LR,spectral,0.1401805038838736,0.21146205968734183,1.0,1.5707963267948966,0.5172668953201183,2085,0.8654982502918848,0.9303215843416107,0.7611021242988598,0.8018723153278748,0.8654982502918848
ibm32,18,released,prior_matched_random,MR,sorted,0.21323050018004996,0.5226093760202433,1.0,1.5707963267948966,0.34419389048816385,2887,1.0,1.0,0.8566286120186007,0.9129237752115278,1.3230923472506002
ibm32,18,released,prior_matched_random,MR,spectral,0.1523633798402556,0.4405180189465434,1.0,1.5707963267948966,0.2833267701483698,2059,1.0,1.0,0.7957687456899663,0.8422667711922619,1.0027156284432939
aves-sparrow-social,24,bond128,published_lr,LR,sorted,0.0027870342393228054,0.016080735431851227,0.947687972808707,1.2459129939364473,0.3260637638600958,1394,0.009442308106933875,0.09717153959330826,0.09694953216322068,0.0970233169133006,0.009442308106933875
aves-sparrow-social,24,bond128,published_lr,LR,spectral,2.243838526350128e-05,0.0008118725656674998,0.11085654505618305,0.11108486585437535,0.32329916800603664,1282,7.555374472241624e-05,0.008692165709558018,0.008692004007091594,0.008692057906646315,7.555374472241624e-05
aves-sparrow-social,24,bond128,prior_matched_random,MR,sorted,0.01120937706906322,0.0441935036389385,1.0,1.5707963267948966,0.3223472547984083,1167,0.03583439251155668,0.1892997425026159,0.1876425067618277,0.18818869924119178,0.03583439251155668
aves-sparrow-social,24,bond128,prior_matched_random,MR,spectral,0.00025395575838094153,0.0032315846074021616,0.4460629797652216,0.46236159460510445,0.3113918334877262,989,0.000805703220501884,0.028384911845941743,0.028379241869552915,0.028381131381705924,0.000805703220501884
aves-sparrow-social,24,confirm,published_lr,LR,sorted,0.027027527500238013,0.09497157705658388,1.0,1.5707963267948966,0.350304257121011,2992,0.14881844432063893,0.38576993703584384,0.37185901347547295,0.37627694753375307,0.14881844432063893
aves-sparrow-social,24,confirm,published_lr,LR,spectral,0.015291681051177619,0.0739993815135786,1.0,1.5707963267948966,0.33856841067195076,2269,0.09423093473033219,0.3069705763266769,0.29988373539893853,0.3021754327033436,0.09423093473033219
aves-sparrow-social,24,confirm,prior_matched_random,MR,sorted,0.04051097613960658,0.12143817300658245,1.0,1.5707963267948966,0.35164885386895167,2598,0.16105087317585895,0.40131144162091736,0.3856900819800135,0.39063095804675135,0.16105087317585895
aves-sparrow-social,24,confirm,prior_matched_random,MR,spectral,0.029247166227913513,0.11016932950133397,1.0,1.5707963267948966,0.34038504395725877,2173,0.11383289733476908,0.33739131188394444,0.32801906725233676,0.3310303424768943,0.11383289733476908
aves-sparrow-social,24,cutoff1e-4,published_lr,LR,sorted,0.027027527500238013,0.09497157705658388,1.0,1.5707963267948966,0.350304257121011,2992,0.14881844432063893,0.38576993703584384,0.37185901347547295,0.37627694753375307,0.14881844432063893
aves-sparrow-social,24,cutoff1e-4,published_lr,LR,spectral,0.015291681051177619,0.0739993815135786,1.0,1.5707963267948966,0.33856841067195076,2269,0.09423093473033219,0.3069705763266769,0.29988373539893853,0.3021754327033436,0.09423093473033219
aves-sparrow-social,24,cutoff1e-4,prior_matched_random,MR,sorted,0.04002208010676389,0.120405186973692,1.0,1.5707963267948966,0.351159957836109,2597,0.15890042842885896,0.39862316594605857,0.3833065529403575,0.388154532780442,0.15890042842885896
aves-sparrow-social,24,cutoff1e-4,prior_matched_random,MR,spectral,0.029247166227913513,0.11016932950133397,1.0,1.5707963267948966,0.34038504395725877,2173,0.11383289733476908,0.33739131188394444,0.32801906725233676,0.3310303424768943,0.11383289733476908
aves-sparrow-social,24,cutoff1e-5,published_lr,LR,sorted,0.0032265607416950837,0.019562237798001238,1.0,1.5707963267948966,0.32650329036246806,2591,0.015705869442550483,0.1253230602983764,0.1248328285746007,0.12499542641558954,0.015705869442550483
aves-sparrow-social,24,cutoff1e-5,published_lr,LR,spectral,0.00312040562376259,0.02323864972402275,1.0,1.5707963267948966,0.32639713524453573,2198,0.01141322866718997,0.10683271346918961,0.10652879899233246,0.10662973773701857,0.01141322866718997
aves-sparrow-social,24,cutoff1e-5,prior_matched_random,MR,sorted,0.003130642688858154,0.022992064893466918,1.0,1.5707963267948966,0.31426852041820325,2156,0.014828152898071639,0.12177090333109811,0.1213211348461594,0.12147035373223841,0.014828152898071639
aves-sparrow-social,24,cutoff1e-5,prior_matched_random,MR,spectral,0.0024283327206592875,0.024673142863765016,1.0,1.5707963267948966,0.31356621045000455,2138,0.01308673061763461,0.11439724916987562,0.11402421584515121,0.11414804503765241,0.01308673061763461
aves-sparrow-social,24,released,published_lr,LR,sorted,0.12197653968994238,0.2809379590822202,1.0,1.5707963267948966,0.44525326931071535,3416,0.9721217792576758,0.9859623619883651,0.7885560781697685,0.8338532173641156,0.9721217792576758
aves-sparrow-social,24,released,published_lr,LR,spectral,0.10301429686269126,0.2325555786262703,1.0,1.5707963267948966,0.4262910264834644,2396,0.6499013179358344,0.8061645724886665,0.6913711585190703,0.7216874243452539,0.6499013179358344
aves-sparrow-social,24,released,prior_matched_random,MR,sorted,0.27259441428560105,0.4179077565040328,1.0,1.5707963267948966,0.5837322920149461,3307,0.9973451029320969,0.9986716692347375,0.7945152759568795,0.8408073831436613,0.9973451029320969
aves-sparrow-social,24,released,prior_matched_random,MR,spectral,0.2204257086719586,0.38230126727901637,1.0,1.5707963267948966,0.5315635864013039,2364,0.6996413619834372,0.8364456718660437,0.7094652674648247,0.742322154534317,0.6996413619834372
