reduction_index,source,graph6,reduced_graph6,n,leaf,neighbour,coverage,total_time,screen_steps,original_success,reduced_success,absolute_difference
80,atlas,E`Xg,Cj,6,3,2,1.0,5.0,120,0.6675189929713505,0.8749708955141827,0.2074519025428322
760,unit_disk,JTOAV_CQoG_,HTPNa[@,11,8,5,1.0,5.0,120,0.5142226035696058,0.7213485395602647,0.20712593599065887
302,atlas,FjCHO,DjG,7,5,4,1.0,5.0,120,0.4180451163922332,0.6251365048081512,0.207091388415918
455,atlas,FZSw_,DYK,7,6,3,1.0,10.0,120,0.2973080696874764,0.504302875612511,0.20699480592503455
678,unit_disk,HGadH`e,FaTeo,9,4,0,1.0,5.0,120,0.5517722553369518,0.7584107395286181,0.2066384841916663
23,atlas,DjW,Bo,5,0,1,1.0,10.0,120,0.3868718583694009,0.593143923572217,0.2062720652028161
94,atlas,EzW_,Ci,6,5,2,1.0,10.0,120,0.30886183137570417,0.5148959499630903,0.20603411858738613
495,atlas,FO~s?,DFw,7,6,0,1.0,10.0,120,0.24089524117217032,0.44641056155162345,0.20551532037945314
594,atlas,F}RBg,Ds[,7,4,1,1.0,10.0,120,0.24122622125773588,0.4464105615516239,0.20518434029388802
647,unit_disk,Gf_bjk,EY~w,8,4,0,1.0,5.0,120,0.49422052388353244,0.6992637772597124,0.20504325337618
566,atlas,FjvH?,Dns,7,6,2,1.0,5.0,120,0.5180955803970169,0.7228052713359552,0.20470969093893832
555,atlas,FrXwG,DrW,7,6,5,1.0,10.0,120,0.244784005198135,0.4464105615516245,0.2016265563534895
502,atlas,F^eI?,D|c,7,6,1,1.0,10.0,120,0.49588098501537126,0.6971628964984192,0.20128191148304797
572,atlas,FlfoO,Dl{,7,6,4,1.0,5.0,120,0.46148239842965844,0.6625381622652159,0.20105576383555746
608,atlas,F~wWG,D~w,7,6,5,1.0,5.0,120,0.2453594722257529,0.4464122750836571,0.2010528028579042
509,atlas,Fxf__,D{w,7,6,3,1.0,5.0,120,0.6334919315373615,0.8343983275726441,0.2009063960352826
562,atlas,Fn{@G,Dn{,7,5,6,1.0,5.0,120,0.24606933872271802,0.44641227508365683,0.2003429363609388
