source,graph_index,graph6,n,m,leaf,neighbour,neighbour_degree,sibling_leaf_count,reduced_graph6,reduced_n,reduced_m,alpha,reduced_alpha_plus_offset,optimum_count,lifted_optimum_count,lifted_optimum_coverage,endpoint_projector_obstruction,initial_projector_distance,original_minimum_gap,original_minimum_gap_s,reduced_minimum_gap,reduced_minimum_gap_s,native_gap_distortion,scale_controls
atlas,77,FItA?,7,7,2,1,5,3,DW?,5,2,5,5,1,1,1.0,False,1.0,0.716390026727352,0.54,0.7150264191663727,0.54,1.0019070729758057,"[{""gap_distortion"": 1.0019070729758057, ""minimum_gap"": 0.7150264191663727, ""minimum_gap_s"": 0.54, ""omega_scale"": 1.0}, {""gap_distortion"": 1.1805011158696381, ""minimum_gap"": 0.8456992259495189, ""minimum_gap_s"": 0.54, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 1.398420700550452, ""minimum_gap"": 1.0018146430434207, ""minimum_gap_s"": 0.54, ""omega_scale"": 1.4}]"
atlas,77,FItA?,7,7,5,1,5,3,DD?,5,2,5,5,1,1,1.0,False,1.0,0.716390026727352,0.54,0.7150264191663724,0.54,1.001907072975806,"[{""gap_distortion"": 1.001907072975806, ""minimum_gap"": 0.7150264191663724, ""minimum_gap_s"": 0.54, ""omega_scale"": 1.0}, {""gap_distortion"": 1.1805011158696388, ""minimum_gap"": 0.8456992259495193, ""minimum_gap_s"": 0.54, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 1.3984207005504534, ""minimum_gap"": 1.0018146430434216, ""minimum_gap_s"": 0.54, ""omega_scale"": 1.4}]"
atlas,77,FItA?,7,7,6,1,5,3,DD?,5,2,5,5,1,1,1.0,False,1.0,0.716390026727352,0.54,0.7150264191663724,0.54,1.001907072975806,"[{""gap_distortion"": 1.001907072975806, ""minimum_gap"": 0.7150264191663724, ""minimum_gap_s"": 0.54, ""omega_scale"": 1.0}, {""gap_distortion"": 1.1805011158696388, ""minimum_gap"": 0.8456992259495193, ""minimum_gap_s"": 0.54, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 1.3984207005504534, ""minimum_gap"": 1.0018146430434216, ""minimum_gap_s"": 0.54, ""omega_scale"": 1.4}]"
atlas,78,F?Bcw,7,7,1,5,4,2,D?k,5,3,5,5,1,1,1.0,False,1.0,0.8477605558725996,0.5,0.8638475452747834,0.48000000000000004,1.0189758644593052,"[{""gap_distortion"": 1.0189758644593052, ""minimum_gap"": 0.8638475452747834, ""minimum_gap_s"": 0.48000000000000004, ""omega_scale"": 1.0}, {""gap_distortion"": 1.2047165030431113, ""minimum_gap"": 1.0213111322887223, ""minimum_gap_s"": 0.48000000000000004, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 1.4249686305409481, ""minimum_gap"": 1.2080321983284112, ""minimum_gap_s"": 0.48000000000000004, ""omega_scale"": 1.4}]"
atlas,78,F?Bcw,7,7,2,5,4,2,D?k,5,3,5,5,1,1,1.0,False,1.0,0.8477605558725996,0.5,0.8638475452747834,0.48000000000000004,1.0189758644593052,"[{""gap_distortion"": 1.0189758644593052, ""minimum_gap"": 0.8638475452747834, ""minimum_gap_s"": 0.48000000000000004, ""omega_scale"": 1.0}, {""gap_distortion"": 1.2047165030431113, ""minimum_gap"": 1.0213111322887223, ""minimum_gap_s"": 0.48000000000000004, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 1.4249686305409481, ""minimum_gap"": 1.2080321983284112, ""minimum_gap_s"": 0.48000000000000004, ""omega_scale"": 1.4}]"
atlas,78,F?Bcw,7,7,3,6,4,2,D?w,5,3,5,5,1,1,1.0,False,1.0,0.8477605558725996,0.5,0.8638475452747836,0.48000000000000004,1.0189758644593057,"[{""gap_distortion"": 1.0189758644593057, ""minimum_gap"": 0.8638475452747836, ""minimum_gap_s"": 0.48000000000000004, ""omega_scale"": 1.0}, {""gap_distortion"": 1.2047165030431106, ""minimum_gap"": 1.0213111322887218, ""minimum_gap_s"": 0.48000000000000004, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 1.4249686305409488, ""minimum_gap"": 1.2080321983284117, ""minimum_gap_s"": 0.48000000000000004, ""omega_scale"": 1.4}]"
atlas,78,F?Bcw,7,7,4,6,4,2,D?w,5,3,5,5,1,1,1.0,False,1.0,0.8477605558725996,0.5,0.8638475452747836,0.48000000000000004,1.0189758644593057,"[{""gap_distortion"": 1.0189758644593057, ""minimum_gap"": 0.8638475452747836, ""minimum_gap_s"": 0.48000000000000004, ""omega_scale"": 1.0}, {""gap_distortion"": 1.2047165030431106, ""minimum_gap"": 1.0213111322887218, ""minimum_gap_s"": 0.48000000000000004, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 1.4249686305409488, ""minimum_gap"": 1.2080321983284117, ""minimum_gap_s"": 0.48000000000000004, ""omega_scale"": 1.4}]"
atlas,79,FkoK?,7,7,2,1,3,1,Dp_,5,4,4,4,3,2,0.6666666666666666,True,1.0,0.007048411480713668,0.98,0.009950493835974683,0.98,1.411735660326002,"[{""gap_distortion"": 1.411735660326002, ""minimum_gap"": 0.009950493835974683, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.0}, {""gap_distortion"": 1.9725506218994693, ""minimum_gap"": 0.013903348449685105, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 2.7540382732394706, ""minimum_gap"": 0.019411594983425928, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.4}]"
atlas,79,FkoK?,7,7,3,0,4,2,Dp?,5,3,4,4,3,3,1.0,False,1.0,0.007048411480713668,0.98,0.007048396190356243,0.98,1.0000021693385293,"[{""gap_distortion"": 1.0000021693385293, ""minimum_gap"": 0.007048396190356243, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.0}, {""gap_distortion"": 1.3982157403918678, ""minimum_gap"": 0.009855199877092602, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 1.9540370869924777, ""minimum_gap"": 0.013772857437698072, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.4}]"
atlas,79,FkoK?,7,7,5,4,3,1,Dk_,5,4,4,4,3,2,0.6666666666666666,True,1.0,0.007048411480713668,0.98,0.009950493835972907,0.98,1.41173566032575,"[{""gap_distortion"": 1.41173566032575, ""minimum_gap"": 0.009950493835972907, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.0}, {""gap_distortion"": 1.9725506218994693, ""minimum_gap"": 0.013903348449685105, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 2.7540382732388404, ""minimum_gap"": 0.019411594983421487, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.4}]"
atlas,79,FkoK?,7,7,6,0,4,2,DcC,5,3,4,4,3,3,1.0,False,1.0,0.007048411480713668,0.98,0.007048396190354467,0.98,1.0000021693387813,"[{""gap_distortion"": 1.0000021693387813, ""minimum_gap"": 0.007048396190354467, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.0}, {""gap_distortion"": 1.3982157403926239, ""minimum_gap"": 0.009855199877097931, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 1.9540370869924777, ""minimum_gap"": 0.013772857437698072, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.4}]"
