candidate_rank,source,graph6,n,leaf,neighbour,total_time,steps,omega_scale,original_success,reduced_success,absolute_success_difference
5,atlas,EBy?,6,5,0,20.0,240,1.0,0.8976720516393344,0.9013102647420845,0.003638213102750143
5,atlas,EBy?,6,5,0,20.0,240,1.224744871391589,0.8976720516393344,0.9880453905096083,0.09037333887027388
5,atlas,EBy?,6,5,0,20.0,240,1.5,0.8976720516393344,0.9811180413526549,0.08344598971332051
5,atlas,EBy?,6,5,0,40.0,240,1.0,0.9898061640843052,0.9938879269025226,0.0040817628182173715
5,atlas,EBy?,6,5,0,40.0,240,1.224744871391589,0.9898061640843052,0.9782077103660677,0.011598453718237534
5,atlas,EBy?,6,5,0,40.0,240,1.5,0.9898061640843052,0.9925149782021532,0.0027088141178479574
6,unit_disk,HzxFFSC,9,8,5,5.0,240,1.0,0.4118013163759488,0.3957453042773102,0.016056012098638606
6,unit_disk,HzxFFSC,9,8,5,5.0,240,1.1338934190276817,0.4118013163759488,0.41872142193414835,0.006920105558199552
6,unit_disk,HzxFFSC,9,8,5,5.0,240,1.2857142857142858,0.4118013163759488,0.41036543640398204,0.001435879971966758
6,unit_disk,HzxFFSC,9,8,5,10.0,240,1.0,0.31622096969563873,0.3226605617014578,0.0064395920058190614
6,unit_disk,HzxFFSC,9,8,5,10.0,240,1.1338934190276817,0.31622096969563873,0.5718325998015369,0.25561163010589816
6,unit_disk,HzxFFSC,9,8,5,10.0,240,1.2857142857142858,0.31622096969563873,0.6011802027538652,0.28495923305822646
6,unit_disk,HzxFFSC,9,8,5,20.0,240,1.0,0.9060702536538622,0.8958754144308471,0.010194839223015117
6,unit_disk,HzxFFSC,9,8,5,20.0,240,1.1338934190276817,0.9060702536538622,0.8848892327955534,0.021181020858308752
6,unit_disk,HzxFFSC,9,8,5,20.0,240,1.2857142857142858,0.9060702536538622,0.9276619027982658,0.02159164914440359
