draw,distance_um,mask_0,mask_1,chi,principal_flux_rad,sin_flux,edge_geometric_mean,two_bit_leakage_ratio,branch_cut_margin_rad
77,9.540552812301133,0.010275130580227498,0.9901410593196835,0.2107427586687486,1.551720087649524,0.9998180540676891,1.928909034289646,0.33782166654099477,0.8310583029804288
78,9.444243139795017,0.011822915415818685,0.9941055983190077,0.24242350181107936,1.5603657960861448,0.9999456025077552,1.9880320949628785,0.3107548814819999,0.8809453134848413
79,9.45358150830329,0.007081888566737921,1.0,0.22135786722222395,1.589987568317178,0.9998158537763329,1.931752817561241,0.2904132017360963,0.9070329838811384
80,9.475120474372297,0.0,1.0,0.25820407890309327,1.5229580345949987,0.9988559671014829,2.0289204970330155,0.3120407923561432,0.9206792457166317
81,9.442939426305196,0.0,0.9879694655517499,0.28527407682622685,1.5185385443955988,0.9986348727978503,2.0942828292232845,0.31955121814620524,0.8060606107146451
82,9.447454686540448,0.005449323513528668,0.9890100263564995,0.25190248530589016,1.5185722069322196,0.9986366305610027,2.0070720426913744,0.3155195747501934,0.8925692460924188
83,9.48357714829101,0.020984915511838162,0.9864982442262702,0.2298975162343092,1.5317921269950248,0.9992394326289987,1.9572696706577608,0.3139382453351012,0.9433965679271852
84,9.459507143492603,2.071517926175978e-05,1.0,0.25805208312573724,1.5813043857029134,0.9999447908570086,2.044486479485781,0.34543387296762246,0.8660193461857837
85,9.534997870955594,0.012338853300665387,1.0,0.2208757892739891,1.5716128459437266,0.9999996666482583,1.9475504695569512,0.30875681998981014,0.9775425553140047
86,9.428325675884368,0.0,1.0,0.28370332749952254,1.5929286697025278,0.9997550896962053,2.1015209452224504,0.3025082324914317,0.7265782754763102
87,9.44781239442137,0.0,1.0,0.234357068160996,1.642887232343243,0.9974025758834368,1.9978739459964587,0.3545428324596588,0.7920112273462903
88,9.509290675731815,0.0,1.0,0.21540125499415777,1.570267327149009,0.9999998600796906,1.935946397219234,0.3321198269534811,0.8502859579090019
89,9.456058493877286,0.0,0.9938337903227991,0.2777827005219951,1.5688260607786841,0.9999980590265406,2.08602893291604,0.30262510285819966,0.7812992285474021
90,9.45040538987052,0.00447651559985748,1.0,0.29222301194916206,1.5445736421704157,0.9996562051065035,2.120863860693127,0.3371429194814389,0.8606836999033822
91,9.471726063028095,0.016099294883162807,1.0,0.22895288259510121,1.5861684104364353,0.9998818518488297,1.9601986961010773,0.3068384264535961,0.9391940583748606
92,9.502928744202974,0.0,1.0,0.2370800405495122,1.5925056884492577,0.9997643610631464,1.9935309815394273,0.32057218287124173,0.9231630471109389
93,9.476185464607441,0.0,0.9955631682873117,0.2283872129488319,1.5914708316990012,0.9997862900359104,1.9695792562512677,0.33582904115243795,0.8620610734216401
94,9.4794817272348,0.007905670692165526,0.9959241600288473,0.2419973244146292,1.5823674274468325,0.999933055561791,2.0000435440794457,0.32106300149083633,0.9603368884170855
95,9.426909468299227,0.014132031738806446,0.9797086043160326,0.25769904869730115,1.6113731567201393,0.9991768733843064,2.0468409720973164,0.3548944719685844,0.8717036747381766
96,9.466390495835062,0.0,1.0,0.24617411526026206,1.5654798535097247,0.9999858675891916,2.000058834615745,0.2991825688441111,0.9028090357322593
97,9.45311809449567,0.0,1.0,0.24601990047134048,1.5458298595697089,0.9996883539457028,1.9946926402811058,0.3061225446123388,0.9161398331584296
98,9.448018756400849,0.001067671236984603,0.9986696749588937,0.2317014967069808,1.6010647085316254,0.999541947506473,1.9631509565035363,0.2966126624923425,0.9269125802134557
