regime,tau,surrogate_max_gram_error,prefix_max_gram_error,max_error_improvement,surrogate_relative_frobenius_error,prefix_relative_frobenius_error,frobenius_improvement,case_passes
uniform,3.35,0.020659176996337368,0.061895719086766485,2.9960399244238953,0.011828824319394322,0.040828242312635314,3.451589203645039,False
uniform,3.4,0.020547657517566764,0.061895719086766415,3.012300503541586,0.01173847182894262,0.040552093439071644,3.4546314060306864,False
uniform,3.45,0.020414389856712293,0.06189571908676629,3.031965173645141,0.01164673658982686,0.04033571240307421,3.4632630429975095,False
uniform,3.5,0.020259578540303417,0.06189571908676641,3.05513359834382,0.01155290534167633,0.04018277796835917,3.478153484336316,False
uniform,3.55,0.020083546402864236,0.06189571908676655,3.0819118220046646,0.011456015531586986,0.04009657829197838,3.500045734175419,False
uniform,3.6,0.019886766348676543,0.06189571908676658,3.112407417150839,0.011354915747348749,0.040079910619403726,3.5297409079201625,False
uniform,3.65,0.019669893213721947,0.0618957190867664,3.1467236966791066,0.011248336648867293,0.04013498499991929,3.5680817753583933,False
uniform,3.7,0.019433795121379844,0.06189571908676652,3.1849527434130827,0.01113497010961666,0.04026333741782389,3.6159358329171143,False
uniform,3.75,0.019179583729769512,0.06189571908676665,3.2271669687332922,0.011013554377580236,0.04046575757055418,3.6741778524223188,False
uniform,3.8,0.018908642741755178,0.06189571908676655,3.273408881436253,0.010882963339754434,0.04074223580759817,3.7436711432051455,False
uniform,3.85,0.01862265397635947,0.06189571908676653,3.3236787390959455,0.010742298349074187,0.04109193252809503,3.825245882473232,False
uniform,3.9,0.018323620169094626,0.06189571908676664,3.377919784168115,0.010590981455417823,0.04151317176361946,3.9196718395143044,False
uniform,3.95,0.018013883466750574,0.06189571908676655,3.4360008601705236,0.01042884917053029,0.04200345895292656,4.027621673887029,False
uniform,4.0,0.017696138302246266,0.06189571908676663,3.497696391698627,0.010256245975854752,0.04255952127618558,4.149619790357912,False
uniform,4.05,0.017373436978778828,0.06189571908676671,3.562664034892498,0.010074116518734721,0.04317736756099831,4.285970633822018,False
uniform,4.1,0.017049185876325257,0.06189571908676684,3.6304208034188963,0.009884094672823316,0.0438523638411873,4.436659632749269,False
uniform,4.15,0.01672712975856634,0.061895719086766464,3.7003191808844718,0.009688586164399347,0.04457932019860915,4.601220388833987,False
uniform,4.2,0.01641132128047306,0.061895719086766936,3.7715256455562347,0.009490839069796204,0.04535258452339767,4.778564275494718,False
uniform,4.25,0.016106072597634927,0.06189571908676662,3.8430050970871448,0.00929499299796956,0.04616613920228734,4.966775038170774,False
uniform,4.3,0.015815886129142174,0.061895719086766984,3.9135157259838023,0.009106093214904182,0.04701369736768202,5.162883385679982,False
uniform,4.35,0.015545362237287027,0.06189571908676676,3.9816196073131063,0.00893005086039903,0.047888796086197255,5.362656588952215,False
uniform,4.4,0.015299083073266377,0.06189571908676661,4.045714294794778,0.008773526172905227,0.04878488462547553,5.560464933259682,False
uniform,4.45,0.015081474243539835,0.061895719086766686,4.104089433649352,0.008643710978361285,0.04969540663174176,5.74931377924939,False
uniform,4.5,0.014896649247939818,0.0618957190867665,4.155009496201072,0.00854799350264,0.050613875629610894,5.921141097496048,False
uniform,4.55,0.0147482455135864,0.0618957190867667,4.196819142300488,0.008493506604626968,0.05153394370035775,6.0674520076647545,False
uniform,4.6,0.014639264634132482,0.061895719086766575,4.228062039568048,0.008486590460024425,0.052449463507287984,6.180275076822434,False
uniform,4.65,0.014571932166257769,0.061895719086766506,4.247598628690433,0.00853223637458798,0.05335454403297809,6.253289488308927,False
uniform,4.7,0.01454759301751034,0.0618957190867665,4.254705160658892,0.008633605569032584,0.054243600495800154,6.282844410956601,False
uniform,4.75,0.014566656373656452,0.06189571908676669,4.249137035916083,0.0087917185688161,0.055111398946902326,6.268558134058159,False
uniform,4.8,0.014628599232139229,0.06189571908676646,4.2311446300873925,0.009005379004259025,0.055953096036349965,6.213297187146413,False
uniform,4.8500000000000005,0.014732030749626427,0.061895719086766256,4.201438358274931,0.009271339582373923,0.05676427439764138,6.122553692840459,False
uniform,4.9,0.014874812257390613,0.061895719086766395,4.161109264153115,0.00958466154216856,0.05754097404811238,6.003443501364739,False
uniform,4.95,0.01505422159826924,0.061895719086766804,4.111519063455454,0.009939185284049997,0.05827972014958288,5.863631523512075,False
