k,horizon,regime,dimension_h0,dimension_h1,response_zero_error,response_min_abs,response_final_abs,rank64_relative_residual,effective_rank_1pct,atom_lower_bound_1pct,effective_rank_5pct,atom_lower_bound_5pct
13,10.0,uniform,610,377,0.0,0.5258692935749993,0.584860269710077,5.51034593093087e-16,3,1,2,1
3,20.0,uniform,5,3,0.0,0.39455979758718523,0.5086833472170902,9.837868050801415e-16,6,2,3,1
4,20.0,uniform,8,5,0.0,0.44867714877000897,0.618429448326488,1.2786019180539758e-15,5,2,4,1
5,20.0,uniform,13,8,0.0,0.33020153146944226,0.3423807249955175,8.611496989202347e-16,6,2,3,1
6,20.0,uniform,21,13,0.0,0.4075728009426642,0.6078954081632468,6.648863489469694e-15,5,2,3,1
7,20.0,uniform,34,21,0.0,0.3935325358985558,0.4057085913191968,6.562076849341339e-15,6,2,3,1
8,20.0,uniform,55,34,0.0,0.4292042093142685,0.5882356299903673,3.5381753800658686e-15,5,2,3,1
9,20.0,uniform,89,55,0.0,0.4050502501055187,0.4050502501055187,2.0140531972913923e-15,5,2,3,1
10,20.0,uniform,144,89,0.0,0.4565122183953396,0.5127096242955285,1.5273353300435733e-15,5,2,2,1
11,20.0,uniform,233,144,0.0,0.43752166759033845,0.43752166759033845,1.143202268665524e-15,5,2,2,1
12,20.0,uniform,377,233,0.0,0.46141898418614563,0.47820798961006367,7.977514740247723e-16,5,2,2,1
13,20.0,uniform,610,377,0.0,0.4558185673551565,0.4558185673551565,6.120737481824545e-16,5,2,2,1
3,2.0,perturbed,5,3,0.0,0.6713134244900619,0.671313424490062,2.1418691568669043e-16,2,1,1,0
4,2.0,perturbed,8,5,0.0,0.6740200210571698,0.6740200210571698,2.135833812889032e-16,2,1,1,0
5,2.0,perturbed,13,8,0.0,0.6737586484582906,0.6737586484582906,2.1728225284947565e-16,2,1,1,0
6,2.0,perturbed,21,13,0.0,0.6737794554798361,0.673779455479836,2.2377363302468743e-16,2,1,1,0
7,2.0,perturbed,34,21,0.0,0.6737780662329313,0.6737780662329315,2.24609321380695e-16,2,1,1,0
