host_code,host_n,host_edges,host_port_degree,regime,target_hilbert_dimension,surrogate_hilbert_dimension,prefix_hilbert_dimension,surrogate_max_trace_distance,prefix_max_trace_distance,trace_improvement_factor,surrogate_final_trace_distance,prefix_final_trace_distance,surrogate_max_tv_distance,prefix_max_tv_distance,surrogate_max_port_population_error,prefix_max_port_population_error
n5_0001110101,5,5,1,uniform,5778,76,76,0.007926398290239004,0.012667205221583907,1.5981035468761378,0.007926398290239004,0.012667205221583907,0.0014036078238275351,0.005039249490635712,0.001403607823827896,0.0014938728143762403
n5_0001001111,5,5,1,uniform,6532,86,86,0.012704917836837217,0.013833258981877705,1.088811368914872,0.012704917836837217,0.013833258981877705,0.0020102973650019808,0.008053754724358677,0.0018329015034725393,0.00799526604583295
n5_0011101111,5,7,2,uniform,4791,63,63,0.011021828372505548,0.017186041742074266,1.559273213230722,0.011021828372505548,0.017186041742074266,0.0014788826997487216,0.006692952738041356,0.0011594582723152835,0.005713096420590175
n5_0011100010,5,4,2,uniform,7231,95,95,0.005275361026020111,0.015188071363829467,2.8790581893667664,0.005275361026020111,0.015188071363829467,0.0014700230895275286,0.004578179426783529,0.0008531238056823931,0.003775809601118091
n5_0011101011,5,6,2,uniform,5401,71,71,0.006934048058046384,0.01067789470905544,1.539922224315223,0.006934048058046384,0.01067789470905544,0.0010200546254236966,0.0027937885007228705,0.0007488648351379606,0.0005824080544779703
n5_0001010101,5,4,1,uniform,7375,97,97,0.008848163977843184,0.01302193790035423,1.4717107337706052,0.008848163977843184,0.01302193790035423,0.0024597310947291236,0.003154394768098789,0.001348821574977524,0.0023775533271219174
n5_0011100011,5,5,2,uniform,6011,79,79,0.010283135715941891,0.010399426484439131,1.0113088820093032,0.010283135715941891,0.010399426484439131,0.0012672264359944664,0.0036826349693735937,0.0009372334945837446,0.0026720067682939885
n5_0001001101,5,4,1,uniform,7142,94,94,0.012602096801425745,0.014631044532861154,1.1610008051363216,0.012602096801425745,0.014631044532861154,0.0018810583029337006,0.008452266203214293,0.0017612369534162342,0.008452266203213321
n5_0111011111,5,8,3,uniform,4414,58,58,0.011018329139859175,0.016789608932062418,1.52378901727717,0.011018329139859175,0.016789608932062418,0.001804522940030008,0.005647467392901236,0.0004448925680323179,0.0056474673929006736
n5_0001010110,5,4,1,uniform,6765,89,89,0.01056516043427492,0.014738822150919246,1.3950400699173824,0.01056516043427492,0.014738822150919246,0.0021612651575436195,0.006414953735772265,0.0015354401613754398,0.005216011768211626
