target_k,horizon,regime,prefix_atoms,max_time_error,relative_l2_time_error,relative_hankel_error
13,2.0,uniform,3,0.002584970010665376,0.0007690914920372553,0.000382955795042441
3,5.0,uniform,1,0.5066321372670051,0.43372168075305384,0.4177094077282795
3,5.0,uniform,2,0.6606181414347078,0.41773901618552256,0.3278985834656555
3,5.0,uniform,3,0.0,0.0,0.0
4,5.0,uniform,1,0.7676600014197809,0.5681948031805689,0.5061249385145037
4,5.0,uniform,2,0.39508560154646766,0.26484018467642606,0.2162227750590373
4,5.0,uniform,3,0.26598900232968803,0.14922865290051684,0.1068829401066888
5,5.0,uniform,1,0.6917146909434649,0.5331212897769678,0.48449938097311246
5,5.0,uniform,2,0.4715964782603682,0.30531389901322015,0.24343929484395285
5,5.0,uniform,3,0.18968966021048864,0.10954638426926895,0.08017410042325429
6,5.0,uniform,1,0.7090739541328317,0.5406925095198752,0.4888796642801469
6,5.0,uniform,2,0.4540847820927194,0.296633623952535,0.23790788005831057
6,5.0,uniform,3,0.20713057539072205,0.11817977792996195,0.08569927928777012
7,5.0,uniform,1,0.7057439140463654,0.5393125320217096,0.48812386955556647
7,5.0,uniform,2,0.45747310755569254,0.29819830905469985,0.23885510920310743
7,5.0,uniform,3,0.20377515521606349,0.11660128000922845,0.08473397631054189
8,5.0,uniform,1,0.7063013353952707,0.539530165199734,0.4882370970684529
8,5.0,uniform,2,0.4569042869267426,0.2979518940103282,0.23871290182330582
8,5.0,uniform,3,0.20433728071131987,0.11685202979763439,0.08488080182872221
9,5.0,uniform,1,0.7062197266046689,0.5394997407731592,0.48822201065723436
9,5.0,uniform,2,0.4569882643246658,0.29798600016246296,0.23873176558553047
9,5.0,uniform,3,0.2042547610343149,0.11681695852874076,0.0848610778578921
10,5.0,uniform,1,0.706230529232814,0.5395035495359353,0.4882238150144315
10,5.0,uniform,2,0.4569771060056308,0.2979817407492254,0.23872950695127843
10,5.0,uniform,3,0.2042656974148767,0.11682136996826871,0.08486346319643796
11,5.0,uniform,1,0.7062292429116594,0.539503116417051,0.48822361858596613
11,5.0,uniform,2,0.4569784450498738,0.29798222084341447,0.23872975195991833
11,5.0,uniform,3,0.20426439190414375,0.11682086851601653,0.08486320200063603
12,5.0,uniform,1,0.7062293843792283,0.539503161519472,0.488223638188027
12,5.0,uniform,2,0.45697829718469546,0.2979821710037873,0.23872972749795715
12,5.0,uniform,3,0.2042645356705819,0.11682092089650584,0.08486322828473518
13,5.0,uniform,1,0.706229370139058,0.539503157186059,0.48822363638034066
13,5.0,uniform,2,0.45697831217478746,0.29798217575358243,0.23872972974665152
13,5.0,uniform,3,0.20426452116568694,0.11682091586828426,0.08486322585036693
3,10.0,uniform,1,1.0301747466086206,0.6425297143999062,0.6166647243697575
3,10.0,uniform,2,0.6872360393175465,0.6080326101611153,0.7481911918685346
3,10.0,uniform,3,0.0,0.0,0.0
4,10.0,uniform,1,0.8723647463069795,0.7407858876436582,0.9380834345334066
4,10.0,uniform,2,0.4423844319858012,0.43814542386213473,0.5192281716032797
4,10.0,uniform,3,0.4676651021515856,0.42686052996523266,0.45113531925517314
5,10.0,uniform,1,1.0468609725453881,0.7462864669721002,0.8367217523780547
5,10.0,uniform,2,0.48311651381028403,0.4745330333597853,0.5894343098829797
5,10.0,uniform,3,0.21378532233553094,0.20284824565104065,0.25688850279768044
6,10.0,uniform,1,0.8754129155135228,0.7157332643896179,0.8611162975762019
6,10.0,uniform,2,0.46338047312453967,0.44792638765121606,0.5671973586729918
6,10.0,uniform,3,0.3304147497541034,0.31139907906675146,0.33512882368807356
7,10.0,uniform,1,0.9468280674611634,0.7329504827748781,0.8566005516029775
7,10.0,uniform,2,0.4673489423213527,0.4503576060896226,0.5713534446833339
7,10.0,uniform,3,0.27476004187588826,0.26276677071097526,0.30538551966353233
8,10.0,uniform,1,0.908946610190672,0.7242610055295133,0.856734738666355
8,10.0,uniform,2,0.4666428628091912,0.44886566937062733,0.5702936740970168
8,10.0,uniform,3,0.29222520911655686,0.28027964846986714,0.31490618680030213
9,10.0,uniform,1,0.9226955582972963,0.7274430039788833,0.8569316472727351
9,10.0,uniform,2,0.46675195569872013,0.4491249659762649,0.5704862172004828
9,10.0,uniform,3,0.2863652716411456,0.27430785579436734,0.311948240704282
10,10.0,uniform,1,0.9185301647686404,0.7264746004272189,0.8568267348871405
10,10.0,uniform,2,0.4667364977516935,0.44907351215001634,0.570451009137654
10,10.0,uniform,3,0.2878618179271424,0.27596133902189907,0.31271719251084124
11,10.0,uniform,1,0.9196295534365979,0.7267306150930414,0.8568614077063255
11,10.0,uniform,2,0.46673848233365905,0.44907731663819134,0.5704557923432175
11,10.0,uniform,3,0.28751088173684636,0.27554703063979097,0.3125353386783978
12,10.0,uniform,1,0.919374106370142,0.7266717606074088,0.8568525738215399
12,10.0,uniform,2,0.4667382466797616,0.4490775476465057,0.5704552177460344
12,10.0,uniform,3,0.2875837468116682,0.2756382662578109,0.3125736234158999
13,10.0,uniform,1,0.9194273149514812,0.7266838519011003,0.856854530320294
13,10.0,uniform,2,0.46673827238107113,0.44907715552452687,0.5704552328455816
13,10.0,uniform,3,0.2875702010367684,0.27562021037438394,0.3125663675498329
3,20.0,uniform,1,1.5277121118304193,1.1819324124872421,1.171450702831646
3,20.0,uniform,2,0.6872360393175406,0.6604374488365586,0.6475686694835492
3,20.0,uniform,3,0.0,0.0,0.0
4,20.0,uniform,1,1.2486425152041807,1.267763558950562,1.2832631869224198
4,20.0,uniform,2,0.8044806991537262,0.6462432773267185,0.5600197482507688
4,20.0,uniform,3,0.46765644890513636,0.4749517458603906,0.5503247734110118
5,20.0,uniform,1,1.425905400140828,1.3063186685947568,1.3424293429679244
5,20.0,uniform,2,0.6425579829349177,0.6477401312359495,0.6252998181158506
